Row,Recency,Frequency,Monetary
1,2166,1,2146
2,2165,1,3621
3,2164,1,3698
4,2163,1,3667
5,2162,1,3316
6,2161,1,2815
7,2160,1,1658
8,2159,1,2288
9,2158,1,3638
10,2157,1,4462
11,2156,1,4414
12,2155,1,4315
13,2154,1,3323
14,2153,1,1656
15,2152,1,2465
16,2151,1,4096
17,2150,1,4474
18,2149,1,4124
19,2148,1,3514
20,2147,1,3005
21,2146,1,2054
22,2145,1,2847
23,2144,1,4501
24,2143,1,4603
25,2142,1,4187
26,2141,1,4343
27,2140,1,3565
28,2139,1,2080
29,2138,1,3031
30,2137,1,4814
31,2136,1,5040
32,2135,1,5028
33,2134,1,4658
34,2133,1,3624
35,2132,1,2285
36,2131,1,3454
37,2130,1,5307
38,2129,1,5135
39,2128,1,5084
40,2127,1,4650
41,2126,1,3571
42,2125,1,2354
43,2124,1,3497
44,2123,1,5294
45,2122,1,4643
46,2121,1,4596
47,2120,1,4162
48,2119,1,2933
49,2118,1,2202
50,2117,1,3083
51,2116,1,4376
52,2115,1,4704
53,2114,1,4306
54,2113,1,4178
55,2112,1,3236
56,2111,1,2010
57,2110,1,2901
58,2109,1,4754
59,2108,1,4417
60,2107,1,4535
61,2106,1,4274
62,2105,1,3382
63,2104,1,2085
64,2103,1,3083
65,2102,1,4860
66,2101,1,4893
67,2100,1,4866
68,2099,1,4584
69,2098,1,3914
70,2097,1,2431
71,2096,1,3157
72,2095,1,5045
73,2094,1,4746
74,2093,1,4314
75,2092,1,3663
76,2091,1,3270
77,2090,1,2905
78,2089,1,4016
79,2088,1,5266
80,2087,1,5795
81,2086,1,5728
82,2085,1,5293
83,2084,1,3934
84,2083,1,3071
85,2082,1,3876
86,2081,1,5878
87,2080,1,5712
88,2079,1,5491
89,2078,1,5144
90,2077,1,3880
91,2076,1,2605
92,2075,1,3625
93,2074,1,4685
94,2073,1,4891
95,2072,1,4222
96,2071,1,3691
97,2070,1,2748
98,2069,1,1380
99,2068,1,1474
100,2067,1,2452
101,2066,1,2298
102,2065,1,1430
103,2064,1,1002
104,2063,1,1486
105,2062,1,1345
106,2061,1,1453
107,2060,1,2173
108,2059,1,2208
109,2058,1,1381
110,2057,1,1265
111,2056,1,1948
112,2055,1,1742
113,2054,1,1896
114,2053,1,3033
115,2052,1,3445
116,2051,1,3423
117,2050,1,3319
118,2049,1,2783
119,2048,1,1952
120,2047,1,2245
121,2046,1,3928
122,2045,1,3810
123,2044,1,3931
124,2043,1,3523
125,2042,1,2943
126,2041,1,1751
127,2040,1,2491
128,2039,1,3766
129,2038,1,4194
130,2037,1,4038
131,2036,1,3891
132,2035,1,3111
133,2034,1,1946
134,2033,1,2802
135,2032,1,3892
136,2031,1,4172
137,2030,1,4464
138,2029,1,4377
139,2028,1,3734
140,2027,1,2262
141,2026,1,3050
142,2025,1,4794
143,2024,1,4936
144,2023,1,5016
145,2022,1,4489
146,2021,1,3505
147,2020,1,2264
148,2019,1,3314
149,2018,1,5095
150,2017,1,5525
151,2016,1,5074
152,2015,1,4571
153,2014,1,3570
154,2013,1,2182
155,2012,1,3265
156,2011,1,4670
157,2010,1,4764
158,2009,1,4943
159,2008,1,4790
160,2007,1,3604
161,2006,1,2455
162,2005,1,3650
163,2004,1,5463
164,2003,1,5884
165,2002,1,5615
166,2001,1,5289
167,2000,1,4434
168,1999,1,2665
169,1998,1,3907
170,1997,1,5308
171,1996,1,5773
172,1995,1,5585
173,1994,1,4783
174,1993,1,3893
175,1992,1,2917
176,1991,1,3353
177,1990,1,5400
178,1989,1,5395
179,1988,1,5229
180,1987,1,5371
181,1986,1,4185
182,1985,1,2724
183,1984,1,3590
184,1983,1,5367
185,1982,1,5440
186,1981,1,5465
187,1980,1,5318
188,1979,1,4225
189,1978,1,2687
190,1977,1,3791
191,1976,1,5661
192,1975,1,5759
193,1974,1,5599
194,1973,1,5103
195,1972,1,4313
196,1971,1,2971
197,1970,1,3662
198,1969,1,5635
199,1968,1,5581
200,1967,1,5329
201,1966,1,4553
202,1965,1,3423
203,1964,1,2708
204,1963,1,3306
205,1962,1,5203
206,1961,1,5712
207,1960,1,5601
208,1959,1,5486
209,1958,1,4178
210,1957,1,2878
211,1956,1,4169
212,1955,1,6372
213,1954,1,6240
214,1953,1,6170
215,1952,1,6071
216,1951,1,4682
217,1950,1,3208
218,1949,1,4310
219,1948,1,6435
220,1947,1,6299
221,1946,1,6360
222,1945,1,6349
223,1944,1,4660
224,1943,1,3354
225,1942,1,4371
226,1941,1,6534
227,1940,1,6832
228,1939,1,6689
229,1938,1,5849
230,1937,1,4247
231,1936,1,3219
232,1935,1,4211
233,1934,1,6424
234,1933,1,6223
235,1932,1,6551
236,1931,1,6343
237,1930,1,4696
238,1929,1,3134
239,1928,1,3868
240,1927,1,6020
241,1926,1,5705
242,1925,1,5752
243,1924,1,5181
244,1923,1,4269
245,1922,1,2633
246,1921,1,3336
247,1920,1,5127
248,1919,1,5449
249,1918,1,5746
250,1917,1,5115
251,1916,1,3995
252,1915,1,2618
253,1914,1,2961
254,1913,1,4090
255,1912,1,5201
256,1911,1,5321
257,1910,1,5219
258,1909,1,4017
259,1908,1,2297
260,1907,1,3145
261,1906,1,4905
262,1905,1,4747
263,1904,1,4591
264,1903,1,4431
265,1902,1,3608
266,1901,1,2422
267,1900,1,3132
268,1899,1,4962
269,1898,1,4881
270,1897,1,5001
271,1896,1,4635
272,1895,1,3545
273,1894,1,2262
274,1893,1,2866
275,1892,1,4692
276,1891,1,4602
277,1890,1,4620
278,1889,1,4475
279,1888,1,3564
280,1887,1,2071
281,1886,1,2659
282,1885,1,4338
283,1884,1,4531
284,1883,1,4498
285,1882,1,4128
286,1881,1,3132
287,1880,1,1829
288,1879,1,2149
289,1878,1,3975
290,1877,1,4046
291,1876,1,3897
292,1875,1,3871
293,1874,1,2630
294,1873,1,1602
295,1872,1,1960
296,1871,1,4143
297,1870,1,4205
298,1869,1,4193
299,1868,1,3710
300,1867,1,3137
301,1866,1,1834
302,1865,1,2070
303,1864,1,4180
304,1863,1,4038
305,1862,1,3906
306,1861,1,3580
307,1860,1,2948
308,1859,1,1622
309,1858,1,2179
310,1857,1,3906
311,1856,1,3745
